Start / s	Stopp / s
0,00	600,00
600,00	800,00
800,00	1300,00
1300,00	1900,00
1900,00	2500,00
2500,00	3100,00
3100,00	3700,00
3700,00	4300,00
4300,00	4900,00
4900,00	5300,00
5300,00	5900,00
5900,00	6300,00
6300,00	6900,00
6900,00	7200,00
7200,00	7800,00
7800,00	8000,00
8000,00	8600,00
8600,00	8750,00
8750,00	9350,00
