Vernier Format 2
Gruppe9B_Bat.cmbl 26.11.2025 14:17:15 ,
Aktuell
Zeit	Temperatur	Potenzial	Stromstärke
t	Temp	Pot	A
s	°C	V	A

0	21,3742508941	4,76608276367	0,00373007787857
1	21,3713259562	4,76608276367	0,00373007787857
2	21,3698634738	4,76684570313	0,00373007787857
3	21,3698634738	4,76608276367	0,00341923805536
4	21,3742508941	4,7664642334	0,00404091770179
5	21,3684009826	4,76608276367	0,00373007787857
6	21,3757133498	4,76608276367	0,00341923805536
7	21,3713259562	4,76589202881	0,00373007787857
8	21,3684009826	4,76627349854	0,00279755840893
9	21,3742508941	4,76684570313	0,00310839823214
10	21,3727884296	4,7664642334	0,00404091770179
11	21,3698634738	4,76608276367	0,00341923805536
12	21,3742508941	4,76608276367	0,00279755840893
13	21,3742508941	4,7664642334	0,00310839823214
14	21,3698634738	4,76608276367	0,00279755840893
15	21,3713259562	4,7664642334	0,00279755840893
16	21,3742508941	4,76665496826	0,00373007787857
17	21,3713259562	4,76627349854	0,00341923805536
18	21,3742508941	4,76684570313	0,00341923805536
19	21,3698634738	4,76608276367	0,00341923805536
20	21,3713259562	4,76608276367	0,0021758787625
21	21,3742508941	4,76608276367	0,00248671858571
22	21,3684009826	4,7664642334	0,00373007787857
23	21,3727884296	4,76608276367	0,00341923805536
24	21,3713259562	4,7664642334	0,00341923805536
25	21,3713259562	4,76608276367	0,00341923805536
26	21,3713259562	4,7664642334	0,00341923805536
27	21,3684009826	4,76665496826	0,00373007787857
28	21,3669384825	4,7664642334	0,00341923805536
29	21,3684009826	4,76608276367	0,00248671858571
30	21,3669384825	4,76608276367	0,00373007787857
31	21,3698634738	4,76684570313	0,00373007787857
32	21,3684009826	4,76627349854	0,00279755840893
33	21,3684009826	4,76608276367	0,00310839823214
34	21,3698634738	4,76608276367	0,00373007787857
35	21,3713259562	4,76665496826	0,00279755840893
36	21,3684009826	4,7664642334	0,00186503893929
37	21,3669384825	4,76608276367	0,0021758787625
38	21,3698634738	4,76627349854	0,00310839823214
39	21,3713259562	4,76608276367	0,00373007787857
40	21,3669384825	4,76570129395	0,00341923805536
41	21,3684009826	4,76627349854	0,00279755840893
42	21,3684009826	4,76608276367	0,00248671858571
43	21,3698634738	4,76665496826	0,00310839823214
44	21,3684009826	4,76627349854	0,00155419911607
45	21,3684009826	4,76665496826	0,00279755840893
46	21,3698634738	4,7664642334	0,00279755840893
47	21,3654759734	4,7664642334	0,00341923805536
48	21,3684009826	4,76627349854	0,00341923805536
49	21,3684009826	4,76665496826	0,00279755840893
50	21,3713259562	4,7664642334	0,00341923805536
51	21,3669384825	4,76665496826	0,00310839823214
52	21,3698634738	4,76627349854	0,0021758787625
53	21,3684009826	4,76627349854	0,00248671858571
54	21,3698634738	4,76684570313	0,00155419911607
55	21,3713259562	4,76684570313	0,00373007787857
56	21,3654759734	4,76589202881	0,00248671858571
57	21,3684009826	4,76684570313	0,00155419911607
58	21,3713259562	4,76627349854	0,00373007787857
59	21,3698634738	4,76608276367	0,00404091770179
60	21,3713259562	4,76684570313	0,00310839823214
61	21,3727884296	4,7664642334	0,00341923805536
62	21,3669384825	4,76684570313	0,00279755840893
63	21,3713259562	4,7664642334	0,00279755840893
64	21,3713259562	4,7664642334	0,00310839823214
65	21,3684009826	4,76684570313	0,00310839823214
66	21,3698634738	4,7664642334	0,00310839823214
67	21,3713259562	4,7664642334	0,00155419911607
68	21,3684009826	4,76627349854	0,00155419911607
69	21,3669384825	4,7664642334	0,00279755840893
70	21,3684009826	4,76665496826	0,0021758787625
71	21,3669384825	4,76627349854	0,00341923805536
72	21,3698634738	4,76665496826	0,00124335929286
73	21,3669384825	4,7664642334	0,00248671858571
74	21,3684009826	4,7664642334	0,00373007787857
75	21,3698634738	4,76665496826	0,00279755840893
76	21,3669384825	4,7664642334	0,00279755840893
77	21,3684009826	4,76684570313	0,0021758787625
78	21,3684009826	4,76627349854	0,00373007787857
79	21,3713259562	4,76665496826	0,00248671858571
80	21,3684009826	4,76627349854	0,00155419911607
81	21,3684009826	4,76703643799	0,00124335929286
82	21,3669384825	4,7664642334	0,000932519469643
83	21,3684009826	4,76665496826	0,00310839823214
84	21,3684009826	4,7664642334	0,00310839823214
85	21,3669384825	4,7664642334	0,0021758787625
86	21,3698634738	4,76608276367	0,00341923805536
87	21,3669384825	4,76608276367	0,00310839823214
88	21,3625509286	4,7664642334	0,00341923805536
89	21,3684009826	4,7664642334	0,00186503893929
90	21,3698634738	4,76684570313	0,00341923805536
91	21,3654759734	4,7664642334	0,00341923805536
92	21,3698634738	4,7664642334	0,00341923805536
93	21,3684009826	4,76608276367	0,00155419911607
94	21,3684009826	4,76665496826	0,00341923805536
95	21,3684009826	4,7664642334	0,00341923805536
96	21,3669384825	4,76665496826	0,00248671858571
97	21,3654759734	4,76627349854	0,00279755840893
98	21,3698634738	4,76665496826	0,00279755840893
99	21,3684009826	4,76608276367	0,00341923805536
100	21,3654759734	4,7664642334	0,00310839823214
101	21,3654759734	4,76608276367	0,00373007787857
102	21,3669384825	4,76665496826	0,00248671858571
103	21,3669384825	4,7664642334	0,00279755840893
104	21,3669384825	4,76665496826	0,00155419911607
105	21,3654759734	4,76684570313	0,00186503893929
106	21,3640134555	4,76608276367	0,00279755840893
107	21,3684009826	4,76665496826	0,00341923805536
