Vernier Format 2
Gruppe9B_Akku.cmbl 26.11.2025 11:47:50 ,
Aktuell
Zeit	Temperatur	Potenzial	Stromstärke
t	Temp	Pot	A
s	°C	V	A

0	19,1643412667	4,176902771	0,000932519469643
1	19,1658206814	4,176902771	0,0021758787625
2	19,1673000824	4,176902771	0,00155419911607
3	19,1702588431	4,17728424072	-0,000621679646429
4	19,1717382028	4,176902771	0,00124335929286
5	19,1702588431	4,17747497559	0,0021758787625
6	19,1746968811	4,17728424072	0,00124335929286
7	19,1717382028	4,176902771	0,00279755840893
8	19,1732175488	4,17728424072	0,000932519469643
9	19,1717382028	4,176902771	0,00155419911607
10	19,1732175488	4,176902771	-0,000621679646429
11	19,1702588431	4,17709350586	0,00155419911607
12	19,1732175488	4,17671203613	0
13	19,1717382028	4,176902771	0,00124335929286
14	19,1702588431	4,17671203613	0,00341923805536
15	19,1732175488	4,17709350586	0,00248671858571
16	19,1717382028	4,17671203613	-0,000621679646429
17	19,1673000824	4,176902771	0,000621679646429
18	19,1732175488	4,176902771	0,00124335929286
19	19,1732175488	4,17709350586	0,00155419911607
20	19,1702588431	4,17709350586	0,00155419911607
21	19,1732175488	4,176902771	0,00186503893929
22	19,1732175488	4,176902771	0,00279755840893
23	19,1717382028	4,17709350586	0,000932519469643
24	19,1717382028	4,17709350586	0,00155419911607
25	19,1702588431	4,176902771	0,000932519469643
26	19,1732175488	4,17709350586	0,0021758787625
27	19,1761761996	4,17671203613	0,000932519469643
28	19,1717382028	4,17709350586	0,000621679646429
29	19,1702588431	4,176902771	-0,000310839823214
30	19,1746968811	4,176902771	0,000621679646429
31	19,1761761996	4,17728424072	0,0021758787625
32	19,1761761996	4,17709350586	0,0021758787625
33	19,1746968811	4,17709350586	0
34	19,1776555044	4,176902771	-0,000621679646429
35	19,1791347955	4,17671203613	0,000621679646429
36	19,1761761996	4,176902771	0,000621679646429
37	19,1746968811	4,17709350586	0,000621679646429
38	19,1761761996	4,17671203613	-0,000310839823214
39	19,1761761996	4,17671203613	0,000932519469643
40	19,1761761996	4,17671203613	0,000310839823214
41	19,1791347955	4,17671203613	0,00186503893929
42	19,1776555044	4,17671203613	0,00124335929286
43	19,1776555044	4,17652130127	0,00155419911607
44	19,1776555044	4,17671203613	0,000310839823214
45	19,1791347955	4,176902771	0,000310839823214
46	19,1791347955	4,17671203613	0,00124335929286
47	19,1806140728	4,176902771	0,00248671858571
48	19,1806140728	4,176902771	0,00186503893929
49	19,1820933365	4,17709350586	0,000932519469643
50	19,1806140728	4,17709350586	0,00279755840893
51	19,1791347955	4,17709350586	0,00124335929286
52	19,1820933365	4,17709350586	0,00186503893929
53	19,1820933365	4,17671203613	0,0021758787625
54	19,1850518227	4,17709350586	0,00186503893929
55	19,1806140728	4,17728424072	0,00186503893929
56	19,1806140728	4,17709350586	0,00186503893929
57	19,1850518227	4,176902771	0,000310839823214
58	19,1806140728	4,17671203613	0,00186503893929
59	19,1835725864	4,176902771	0,00248671858571
60	19,1835725864	4,17709350586	0,00186503893929
61	19,1820933365	4,17652130127	0,000621679646429
62	19,1865310452	4,176902771	-0,000932519469643
63	19,188010254	4,176902771	-0,000310839823214
64	19,1850518227	4,17671203613	-0,000310839823214
65	19,1820933365	4,17671203613	0,00248671858571
66	19,1865310452	4,17671203613	-0,000310839823214
67	19,1850518227	4,17709350586	0,000310839823214
68	19,1850518227	4,17709350586	0,000310839823214
69	19,1865310452	4,17709350586	0,000932519469643
70	19,188010254	4,17709350586	0,000621679646429
71	19,1820933365	4,176902771	0,000932519469643
72	19,1850518227	4,176902771	0,00186503893929
73	19,1865310452	4,17709350586	0,000932519469643
74	19,1865310452	4,17671203613	0,00186503893929
75	19,1894894492	4,17709350586	0,00124335929286
76	19,1865310452	4,17671203613	0,00155419911607
77	19,1835725864	4,176902771	0,00124335929286
78	19,1850518227	4,17728424072	0,0021758787625
79	19,188010254	4,17709350586	0,00248671858571
80	19,1865310452	4,17709350586	0,000310839823214
81	19,1820933365	4,17671203613	0,00124335929286
82	19,1894894492	4,17709350586	0,000932519469643
83	19,1865310452	4,17652130127	0,00124335929286
84	19,188010254	4,17671203613	0,00124335929286
85	19,1894894492	4,176902771	0,00186503893929
86	19,188010254	4,176902771	0,00279755840893
87	19,1850518227	4,17671203613	0,00373007787857
88	19,1894894492	4,17709350586	0,00279755840893
89	19,1865310452	4,17709350586	0,00310839823214
90	19,188010254	4,17709350586	0,0021758787625
91	19,1894894492	4,17671203613	0,00248671858571
92	19,1909686306	4,176902771	0,00248671858571
93	19,188010254	4,17671203613	0,00186503893929
94	19,1865310452	4,17671203613	-0,000932519469643
95	19,188010254	4,17671203613	0,0021758787625
96	19,1894894492	4,176902771	0,000310839823214
97	19,1865310452	4,17671203613	0,00373007787857
98	19,1924477984	4,17709350586	0,000621679646429
99	19,188010254	4,176902771	0,00155419911607
100	19,1909686306	4,17671203613	0,00155419911607
101	19,1924477984	4,17709350586	0,00279755840893
102	19,1909686306	4,176902771	0,000310839823214
103	19,1924477984	4,17671203613	0
104	19,1924477984	4,176902771	0,000621679646429
105	19,1909686306	4,176902771	0,00186503893929
106	19,1894894492	4,176902771	0,000932519469643
107	19,1924477984	4,17709350586	0,000621679646429
108	19,1909686306	4,17709350586	0,00341923805536
109	19,1939269524	4,176902771	0,0021758787625
